EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL
12,CRITICAL ACCOUNT,EDUCATION,2096,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO
30,CRITICAL ACCOUNT,NEW CAR,5234,up to 100 K USD,TBD,NY,NO,NO,NO,NO,NO,NO,YES,2,4,NO,NO
10,CRITICAL ACCOUNT,NEW CAR,2241,up to 100 K USD,up to 1 YR,PA,NO,YES,NO,NO,YES,NO,NO,2,2,NO,YES
6,ALL CREDITS PAID BACK,NEW CAR,783,UNKNOWN/NONE,1 to 4 YRS,PA,NO,YES,NO,YES,YES,YES,YES,1,2,NO,NO
12,EXISTING CREDITS PAID BACK,ELECTRONICS,6468,UNKNOWN/NONE,TBD,NJ,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO
18,EXISTING CREDITS PAID BACK,NEW CAR,1961,up to 100 K USD,above 7 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,4,NO,NO
7,CRITICAL ACCOUNT,ELECTRONICS,730,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,2,YES,NO
18,EXISTING CREDITS PAID BACK,RETRAINING,1568,100 to 500 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,NO,1,2,NO,NO
10,EXISTING CREDITS PAID BACK,ELECTRONICS,2315,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO
20,DELAY IN PAST,USED CAR,7057,UNKNOWN/NONE,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,NO,2,4,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,7721,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,1,3,YES,YES
14,EXISTING CREDITS PAID BACK,RETRAINING,1410,500 to 1000 K USD,above 7 YRS,PA,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO
18,EXISTING CREDITS PAID BACK,NEW CAR,6260,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,YES,NO,NO,1,2,NO,NO
12,CRITICAL ACCOUNT,NEW CAR,2366,500 to 1000 K USD,4 to 7 YRS,CT,YES,NO,NO,NO,NO,NO,YES,1,4,YES,NO
24,DELAY IN PAST,RETRAINING,6967,100 to 500 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO
10,EXISTING CREDITS PAID BACK,NEW CAR,7308,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,YES,NO,1,4,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,3972,up to 100 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO
16,CRITICAL ACCOUNT,NEW CAR,1175,up to 100 K USD,TBD,NJ,NO,YES,NO,NO,NO,NO,NO,3,1,YES,NO
24,EXISTING CREDITS PAID BACK,FURNITURE,3021,up to 100 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,YES,NO,NO,1,2,NO,NO
12,EXISTING CREDITS PAID BACK,ELECTRONICS,2141,100 to 500 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO
4,CRITICAL ACCOUNT,ELECTRONICS,1544,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,3,2,NO,NO
9,EXISTING CREDITS PAID BACK,FURNITURE,2030,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1603,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO
36,CRITICAL ACCOUNT,RETRAINING,6304,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,999,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO
48,EXISTING CREDITS PAID BACK,ELECTRONICS,3060,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO
47,EXISTING CREDITS PAID BACK,NEW CAR,10722,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,YES,NO,YES,1,2,YES,NO
42,CRITICAL ACCOUNT,USED CAR,4796,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,NO,NO
48,CRITICAL ACCOUNT,NEW CAR,10127,500 to 1000 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,YES,NO,1,3,NO,NO
4,EXISTING CREDITS PAID BACK,NEW CAR,1494,UNKNOWN/NONE,up to 1 YR,PA,NO,YES,NO,NO,YES,NO,YES,1,2,NO,YES
15,DELAY IN PAST,FURNITURE,3643,up to 100 K USD,above 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,2,NO,NO
18,CRITICAL ACCOUNT,NEW CAR,1028,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,YES,2,3,NO,NO
12,CRITICAL ACCOUNT,FURNITURE,5801,UNKNOWN/NONE,above 7 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO
10,EXISTING CREDITS PAID BACK,NEW CAR,3949,up to 100 K USD,up to 1 YR,PA,NO,YES,NO,YES,NO,NO,YES,1,2,NO,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,3758,500 to 1000 K USD,TBD,PA,NO,NO,NO,NO,NO,NO,NO,1,1,NO,NO
18,CRITICAL ACCOUNT,USED CAR,3229,UNKNOWN/NONE,TBD,NJ,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO
10,CRITICAL ACCOUNT,FURNITURE,2146,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,YES,NO,NO,2,3,NO,NO
30,DELAY IN PAST,RETRAINING,4272,100 to 500 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO
18,EXISTING CREDITS PAID BACK,ELECTRONICS,1126,UNKNOWN/NONE,up to 1 YR,NY,NO,NO,NO,NO,YES,NO,NO,1,3,YES,NO
36,CRITICAL ACCOUNT,FURNITURE,2348,up to 100 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1484,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,NO,NO,NO,YES,NO,YES,1,3,YES,NO
7,EXISTING CREDITS PAID BACK,ELECTRONICS,2576,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,YES,YES,NO,YES,1,3,NO,NO
12,NONE TAKEN,FURNITURE,2759,up to 100 K USD,above 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO
12,EXISTING CREDITS PAID BACK,FURNITURE,3017,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,YES,NO,NO,1,4,NO,NO
33,DELAY IN PAST,RETRAINING,2764,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,2,3,YES,NO
24,EXISTING CREDITS PAID BACK,NEW CAR,3757,up to 100 K USD,above 7 YRS,NY,NO,NO,YES,NO,NO,NO,NO,1,3,YES,NO
18,EXISTING CREDITS PAID BACK,ELECTRONICS,1301,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,YES,YES,NO,YES,1,2,NO,NO
15,EXISTING CREDITS PAID BACK,RETRAINING,2687,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO
48,CRITICAL ACCOUNT,USED CAR,8858,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,2,3,YES,NO
12,CRITICAL ACCOUNT,NEW CAR,1995,100 to 500 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO
21,NONE TAKEN,NEW CAR,5003,UNKNOWN/NONE,1 to 4 YRS,PA,NO,NO,NO,NO,NO,YES,YES,2,3,YES,NO
24,ALL CREDITS PAID BACK,FURNITURE,3552,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,YES,1,3,NO,NO
48,EXISTING CREDITS PAID BACK,ELECTRONICS,6758,up to 100 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO
9,EXISTING CREDITS PAID BACK,ELECTRONICS,1082,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO
18,EXISTING CREDITS PAID BACK,ELECTRONICS,2600,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,NO,2,3,NO,NO
6,EXISTING CREDITS PAID BACK,FURNITURE,2116,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,3,YES,NO
15,EXISTING CREDITS PAID BACK,ELECTRONICS,1444,UNKNOWN/NONE,up to 1 YR,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO
24,EXISTING CREDITS PAID BACK,NEW CAR,2303,up to 100 K USD,above 7 YRS,NY,NO,YES,YES,NO,YES,NO,YES,1,3,NO,NO
48,EXISTING CREDITS PAID BACK,ELECTRONICS,10222,UNKNOWN/NONE,4 to 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO
24,CRITICAL ACCOUNT,RETRAINING,4139,100 to 500 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,2,2,YES,NO
6,CRITICAL ACCOUNT,NEW CAR,2080,500 to 1000 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO
24,CRITICAL ACCOUNT,ELECTRONICS,5103,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,NO,3,3,YES,NO
12,CRITICAL ACCOUNT,NEW CAR,926,up to 100 K USD,TBD,PA,NO,NO,NO,NO,NO,NO,YES,1,1,NO,NO
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1377,100 to 500 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO
30,CRITICAL ACCOUNT,ELECTRONICS,3077,UNKNOWN/NONE,above 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO
24,CRITICAL ACCOUNT,RETRAINING,1275,above 1000 K USD,1 to 4 YRS,NJ,YES,NO,NO,NO,YES,NO,YES,2,3,YES,NO
24,EXISTING CREDITS PAID BACK,USED CAR,2603,above 1000 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO
18,EXISTING CREDITS PAID BACK,NEW CAR,976,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,1,2,NO,NO
12,EXISTING CREDITS PAID BACK,RETRAINING,841,100 to 500 K USD,4 to 7 YRS,NJ,NO,NO,NO,NO,YES,NO,NO,1,2,NO,NO
18,CRITICAL ACCOUNT,FURNITURE,2124,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,YES,NO,NO,2,3,NO,NO
6,CRITICAL ACCOUNT,FURNITURE,1221,UNKNOWN/NONE,1 to 4 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO
18,CRITICAL ACCOUNT,ELECTRONICS,1795,up to 100 K USD,above 7 YRS,CT,NO,NO,NO,YES,YES,YES,NO,2,2,YES,NO
20,CRITICAL ACCOUNT,FURNITURE,4272,up to 100 K USD,above 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO
42,ALL CREDITS PAID BACK,USED CAR,9283,up to 100 K USD,TBD,PA,NO,YES,NO,NO,NO,YES,NO,1,4,YES,NO
15,NONE TAKEN,NEW CAR,1778,up to 100 K USD,up to 1 YR,NJ,NO,NO,NO,NO,YES,NO,NO,2,1,NO,NO
4,EXISTING CREDITS PAID BACK,FURNITURE,601,up to 100 K USD,up to 1 YR,PA,NO,NO,NO,NO,YES,NO,NO,1,2,NO,NO
24,CRITICAL ACCOUNT,USED CAR,5804,above 1000 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO
27,CRITICAL ACCOUNT,RETRAINING,2442,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,4,4,YES,NO
36,DELAY IN PAST,USED CAR,8947,UNKNOWN/NONE,4 to 7 YRS,CT,NO,YES,NO,NO,NO,YES,YES,1,4,YES,NO
48,NONE TAKEN,NEW CAR,8358,500 to 1000 K USD,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO
42,EXISTING CREDITS PAID BACK,ELECTRONICS,7166,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO
30,CRITICAL ACCOUNT,ELECTRONICS,2831,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO
18,DELAY IN PAST,RETRAINING,2427,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO
42,NONE TAKEN,RETRAINING,6289,up to 100 K USD,up to 1 YR,NJ,YES,NO,NO,NO,NO,NO,YES,2,3,NO,NO
24,CRITICAL ACCOUNT,ELECTRONICS,1743,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO
12,EXISTING CREDITS PAID BACK,FURNITURE,1736,up to 100 K USD,4 to 7 YRS,CT,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO
